,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
83,data/1w_17-05-2019,7,512,2650949816187392,54573259.82618191,2584806836109824,65907846.890235096,2.4950672273643844,-20.769488757230764
84,data/1w_17-05-2019,8,64,375188382647872,8099117.34469326,364145801192512,9341198.666967472,2.9432098556537305,-15.336008473664773
85,data/1w_17-05-2019,8,128,734936408462080,15618505.763644382,713273527143168,18207345.22177268,2.947585814158195,-16.5754618098897
86,data/1w_17-05-2019,8,256,1514244302871040,31556259.223367844,1469030434973696,37634217.62661888,2.9859031208912277,-19.26070628406494
87,data/1w_17-05-2019,8,512,2933455330714624,61009156.46843521,2861596238152704,73059766.87420857,2.449639911319675,-19.752134111226525
88,data/1w_17-05-2019,9,64,398421991945344,8807026.998322519,386473862563264,9972093.886162268,2.998862920126924,-13.22883293149505
89,data/1w_17-05-2019,9,128,804624972432256,16790229.786899567,783368313314944,20028991.95364471,2.641809519415788,-19.28956427548217
90,data/1w_17-05-2019,9,256,1600187715518208,33348292.25429358,1559997289235968,39534146.80796825,2.5116069753869255,-18.549239362858962
91,data/1w_17-05-2019,9,512,3244997781364224,66430442.17358906,3141657662054400,80216142.35531723,3.184597533573011,-20.752082525214618
92,data/1w_17-05-2019,10,64,447273702120576,9597724.00750082,434676118070208,11142787.129891498,2.8165268806642123,-16.098224132962976
93,data/1w_17-05-2019,10,128,892013943835904,19008125.610934768,865759172266240,21943689.88659693,2.943314031253962,-15.443733568203193
94,data/1w_17-05-2019,10,256,1788621741635328,37095712.31781059,1734223114800128,44466720.09281079,3.0413712172291727,-19.870241907879993
95,data/1w_17-05-2019,10,512,3589702471884800,75844349.24458894,3489010994815488,88973254.67046173,2.8050089905206876,-17.310327739161742
96,data/2w_01-05-2019,5,64,613525300498368,23254163.319409043,594989361860864,15056328.101886977,3.021218297346045,35.25319361062437
97,data/2w_01-05-2019,5,128,1210269128459648,45060271.12805336,1171871082448256,29399097.259286422,3.172686562720355,34.75605777928108
98,data/2w_01-05-2019,5,256,2455186916041472,91913286.08367254,2366378028647168,59038757.57397898,3.6171945530522644,35.76689498378557
99,data/2w_01-05-2019,5,512,4715040080126976,174142497.76852137,4558246836120576,113785242.03402427,3.3253851789564757,34.65969335912873
100,data/2w_01-05-2019,6,64,678838326711680,26007934.501492508,656774027212544,16542450.629152011,3.250302558197671,36.394600546988094
101,data/2w_01-05-2019,6,128,1401909432625536,52530865.096387364,1352035206435200,33810031.31060855,3.557592596900509,35.63777933492719
102,data/2w_01-05-2019,6,256,2800424450220032,104262734.37291937,2697510961340160,67425457.31172548,3.674924666215723,35.331201778611515
103,data/2w_01-05-2019,6,512,5660958434309120,213977859.8553805,5463727048557568,136230447.67088068,3.4840634857200237,36.33432554052384
104,data/2w_01-05-2019,7,64,794271716084416,30061388.407125887,766531758936064,19295281.427430622,3.492502198756851,35.8137383206932
105,data/2w_01-05-2019,7,128,1580686376429952,59671475.93132812,1525148324333568,38138549.084044054,3.5135402521668513,36.08579561877246
106,data/2w_01-05-2019,7,256,3175448779093760,119151392.88383019,3060494072991232,76321097.54408711,3.620108970403071,35.946113849883076
107,data/2w_01-05-2019,7,512,6343828013386752,236284686.53887203,6100981331974144,152282488.97733295,3.8280779507286877,35.55126605621968
108,data/2w_01-05-2019,8,64,880275490252352,33824629.546735294,847278036392640,21314824.85738519,3.7485371596853723,36.984306574785634
109,data/2w_01-05-2019,8,128,1758077669411456,66835190.426337495,1698152383804672,42290315.15093169,3.4085687253422043,36.72447870475954
110,data/2w_01-05-2019,8,256,3549256003531776,132840541.14534271,3414124347549952,85570809.04114737,3.8073234460224303,35.58381477268815
111,data/2w_01-05-2019,8,512,7028830167095808,262376147.0491196,6775882699940864,167827802.6254728,3.598713600153147,36.035419182349045
112,data/2w_01-05-2019,9,64,982011739550912,37689398.71579829,943073772712064,23679275.199604407,3.965122337198829,37.172584316982615
113,data/2w_01-05-2019,9,128,1904580784804992,73106147.99606858,1825178613370112,45683805.56526912,4.169010423100006,37.51030957379145
114,data/2w_01-05-2019,9,256,3883537025809408,146728150.0544113,3720246484015872,93129770.19188984,4.2046861072350135,36.52903675446432
115,data/2w_01-05-2019,9,512,7686308695598592,290512033.2648738,7385961082755072,184279717.9481595,3.907566359070485,36.56726853027021
116,data/2w_01-05-2019,10,64,1034239951999808,39909490.873229675,991168227142080,24839028.699143663,4.16457755034936,37.76159967050573
117,data/2w_01-05-2019,10,128,2111908150366336,80724242.87719749,2028803621219584,50648239.11863269,3.9350446719160828,37.25770931579774
118,data/2w_01-05-2019,10,256,4232586521746176,161238745.1739533,4060614119429120,101374472.738992,4.0630569849782505,37.1277216095774
119,data/2w_01-05-2019,10,512,8409518006605824,318115103.5663047,8057759970493952,200292662.13604987,4.182856090391386,37.03767602021358
