,Unnamed: 0,data,job_scaling,data_scaling,transfer_size_worst,transfer_time_worst,transfer_size_opt,transfer_time_opt,transfer_size_improvement,transfer_time_improvement
110,110,data/1w_10-05-2019,6,32,172148649760192,4734761.3753880495,167854410337792,4387898.047048167,2.494494977673074,7.325888272699997
111,111,data/1w_10-05-2019,6,64,347829632702720,9301006.80366467,338656637689280,8671880.518633312,2.6372091826000044,6.764066496365502
112,112,data/1w_10-05-2019,6,128,674141293079424,17212904.31696354,657061416605568,16636609.434552575,2.533575179149237,3.348039771783417
113,113,data/1w_10-05-2019,6,256,1355865041047040,35006491.76646923,1322362019566848,33368526.17223371,2.470970226824342,4.679033835102667
114,114,data/1w_10-05-2019,6,512,2747234050903040,70169061.23410945,2691545718259200,68179231.41458765,2.027069103396369,2.835765199826467
115,115,data/1w_10-05-2019,7,32,195630011138624,5241471.314650945,190827456788960,4955758.320430733,2.454916973991734,5.4510074951967775
116,116,data/1w_10-05-2019,7,64,386392203533632,10067679.440654524,373938340206208,9625988.824997494,3.223114548774792,4.387213739378995
117,117,data/1w_10-05-2019,7,128,789491210362496,20460757.187377617,769202475230592,19478362.90252612,2.569849399917752,4.801358404553772
118,118,data/1w_10-05-2019,7,256,1579794500259840,41008965.73151112,1535058413326336,38937098.98191597,2.831766215551829,5.052228732516256
119,119,data/1w_10-05-2019,7,512,3114315088903168,81853876.40418966,3026188533846016,75989847.9143996,2.8297250773103158,7.164020505069103
120,120,data/1w_10-05-2019,8,32,219089456052416,5951930.699986666,212530269327264,5513078.83994999,2.99383952260247,7.373268980394208
121,121,data/1w_10-05-2019,8,64,438045340903616,11570249.135683699,425712679010880,10857294.89860355,2.815384788089683,6.161960980436746
122,122,data/1w_10-05-2019,8,128,861376148104192,22669715.461226285,839639066888960,21389735.639944635,2.5235295013767534,5.646210352621738
123,123,data/1w_10-05-2019,8,256,1760176835389952,46802629.68290178,1705251659784448,43174197.29304488,3.1204350893150914,7.752625043593349
